cord_uid,title,abstract_clean,journal,cluster,abstract_length
01141qgi,On the Potential of Zines as a Medium for Visualization,"zines are a form of small-circulation self-produced publication often akin to a magazine. this free-form medium has a long history and has been used as means for personal or intimate expression, as a way for marginalized people to describe issues that are important to them, and as a venue for graphical experimentation. it would seem then that zines would make an ideal vehicle for the recent interest in applying feminist or humanist ideas to visualization. yet, there has been little work combining visualization and zines. in this paper we explore the potential of this intersection by analyzing examples of zines that use data graphics and by describing the pedagogical value that they can have in a visualization classroom. in doing so, we argue that there are plentiful opportunities for visualization research and practice in this rich intersectional-medium.",,0,866
07tfrmwf,Combination of dual-energy computed tomography and iterative metal artefact reduction to increase general quality of imaging for radiotherapy patients with high dense materials. Phantom study.,"purpose to evaluate the use of pseudo-monoenergetic reconstructions (pmr) from dual-energy computed tomography, combined with the iterative metal artefact reduction (imar) method. methods pseudo-monoenergetic ct images were obtained using the dual-energy mode on the siemens somatom definition as scanner. a range of pmr combinations (70-130 kev) were used with and without imar. a virtual water™ phantom was used for quantitative assessment of error in the presence of high density materials: titanium, alloys 330 and 600. the absolute values of ct number differences (ad) and normalised standard deviations (nsd) were calculated for different phantom positions. image quality was assessed using an anthropomorphic pelvic phantom with an embedded hip prosthesis. image quality was scored blindly by five observers. results ad and nsd values revealed differences in ct number errors between tested sets. ad and nsd were reduced in the vicinity of metal for images with imar (p < 0.001 for ad/nsd). for rois away from metal, with and without imar, 70 kev pmr and pct ad values were lower than for the other reconstructions (p = 0.039). similarly, imar nsd values measured away from metal were lower for 130 kev and 70 kev pmr (p = 0.002). image quality scores were higher for 70 kev and 130 kev pmr with imar (p = 0.034). conclusion the use of 70 kev pmr with imar allows for significant metal artefact reduction and low ct number errors observed in the vicinity of dense materials. it is therefore an attractive alternative to high kev imaging when imaging patients with metallic implants, especially in the context of radiotherapy planning.",Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics,0,1641
0ddhexku,The covid kind of aloha,"this a 55-word story that depicts a native hawaiian cultural conflict between the culture of aloha during the covid-19 pandemic the value of aloha is love and affection the covid-19 pandemic inhibited their ability to show affection with extended family and loved ones some were left feeling awkward and empty (psycinfo database record (c) 2021 apa, all rights reserved)","Families, Systems, &amp; Health",0,370
01fn7zda,SARS-CoV-2 replicon for high-throughput antiviral screening,"the severe acute respiratory syndrome coronavirus-2 (sars-cov-2) virus, which is highly pathogenic and classified as a biosafety level 3 (bsl-3) agent, has greatly threatened global health and efficacious antivirals are urgently needed. the high requirement of facilities to manipulate the live virus has limited the development of antiviral study. here, we constructed a reporter replicon of sars-cov-2, which can be handled in a bsl-2 laboratory. the renilla luciferase activity effectively reflected the transcription and replication levels of the replicon genome. we identified the suitability of the replicon in antiviral screening using the known inhibitors, and thus established the replicon-based high-throughput screening (hts) assay for sars-cov-2. the application of the hts assay was further validated using a few hit natural compounds, which were screened out in a sars-cov-2 induced cytopathic-effect-based hts assay in our previous study. this replicon-based hts assay will be a safe platform for sars-cov-2 antiviral screening in a bsl-2 laboratory without the live virus.",J Gen Virol,0,1088
030pqyzm,Coronavirus y sistema cardiovascular/ Coronavirus and cardiovascular system/ Coronavírus e sistema cardiovascular,"resumen: la pandemia actual generada por el nuevo coronavirus (sars-cov-2) ha constituido desde su aparición, el foco de preocupación sanitaria a nivel mundial. su elevada transmisibilidad asociada a la ausencia de un tratamiento eficaz, implica un duro impacto en el área de investigación. los reportes sobre formas de presentación atípicas, factores de riesgo asociados y fármacos ensayados para disminuir su morbimortalidad, saturan los medios de comunicación. la comunidad cardiológica se encuentra activamente presente, ya que las manifestaciones cardiovasculares son frecuentes y variadas, así como también se ha observado un aumento del riesgo de mala evolución en aquellos individuos con enfermedad cardiovascular previa. el objetivo de la revisión es aportar la evidencia disponible en este tópico, haciendo la salvedad del carácter dinámico de la información.",Rev. urug. cardiol,0,869
0fzilk3i,COVID-19 and Global Governance,"abstract the covid-19 epidemic has sent economic and social shockwaves reverberating across the globe, and has shaken governance institutions at every level and across a range of issues, from trade to health and climate change an important question is whether covid will accelerate, slow, or perhaps reverse some key trends in global governance most prominently, the global and multilateral governance regimes that developed post-world war ii were already weakening and fragmenting before covid (acharya, 2016) in a closely related phenomenon, cosmopolitan liberalism, as a set of institutions and ideologies committed to a democratic open society, human rights, and multiculturalism, has also retreated in the face of rising populism and authoritarianism in recent years (norris and inglehart, 2019) covid could also affect a third important trend, the decline of state regulation and the rise of private, voluntary, and disclosure-based governance (levy, brown, and de jong, 2010) the impact of covid on these trends suggests some fruitful new directions for scholars of global governance and organizations",Journal of Management Studies,0,1108
068zoqse,A Successful Chemoembolization of a Retroperitoneal Soft Tissue Sarcoma: A Case Report,"retroperitoneal sarcomas are rare entities. they have a tendency of growing slowly, rendering the patient apparently healthy for long periods of time, before diagnosis. besides, they have a worse prognosis than sarcomas arising in extremities, with a higher local recurrence rate and lower 5-year survival rate. we describe a case of a 71-year-old male patient, who had a very well succeeded treatment of a large retroperitoneal sarcoma with the combination of chemoembolization, systemic chemotherapy, surgery, and radiation therapy. initially, it was noticed in an incidental way he had a large retroperitoneal mass (15 cm × 10 cm × 9.2 cm) through magnetic resonance, when he was 63. the case was considered inoperable by the treating physicians. after neoadjuvant therapy, the residual tumor could be completely excised by the responsible surgeon. with a follow-up of >5 years, since the end of treatment, the patient remains in complete remission and, probably, cured from his illness. large retroperitoneal sarcomas are still a great challenge for oncologists. according to the medical literature, chemoembolization can benefit some patients, but most of them in a palliative setting. in our report, we believe its contribution was critical for a great outcome. in selected cases, it is possible this procedure may be an additional therapeutic modality, as part of a multidisciplinary approach.",Case Rep Oncol,0,1400
0cmz8i50,A case of ustekinumab-induced sclerouveitis.,"purpose biologics have proven to be essential therapeutic agents in immune-mediated systemic diseases. ophthalmologic adverse effects have been reported in the use of more traditional agents, such as tnf-α inhibitors, but there are limited data on ocular side effects associated with the newer generation of biologics. observations in this report, we present a case of a suspected ustekinumab-associated recurrent sclerouveitis. conclusions to the best of our knowledge, this is the first reported case of this type seen with ustekinumab injections. our goal is to add to the existing literature in order to better understand the mechanism and management of this condition.",American journal of ophthalmology case reports,0,673
0583whdm,Implementing lateral flow devices in long-term care facilities: experiences from the Liverpool COVID-19 community testing pilot in care homes— a qualitative study,"introduction: antigen-based lateral flow devices (lfds) offer the potential of widespread rapid testing. the scientific literature has primarily focused on mathematical modelling of their use and test performance characteristics. for these tests to be implemented successfully, an understanding of the real-world contextual factors that allow them to be integrated into the workplace is vital. to address this gap in knowledge, we aimed to explore staff’s experiences of integrating lfds into routine practice for visitors and staff testing with a view to understand implementation facilitators and barriers. methods: semi-structured interviews and thematic analysis. results: we identified two main themes and five subthemes. the main themes included: visitor-related testing factors and staff-related testing factors. subthemes included: restoring a sense of normality, visitor-related testing challenges, staff-related testing challenges, and pre-pilot antecedent factors. conclusion: our study demonstrates that the real-world implementation of lfds to test visitors and staff faces significant challenges as a result of several contextual factors negatively affecting the work practice and environment. more comprehensive studies are needed to identify and inform effective implementation strategies to ensure that lfds can be adopted in an agile way that better supports an already exhausted and morally depleted workforce.",BMC Health Serv Res,0,1429
0are9k2d,Myocarditis caused by naturally acquired canine distemper virus infection in 4 dogs.,"canine distemper virus (cdv) has long been recognized as a cause of myocarditis; however, cases of myocarditis caused by naturally acquired cdv infection have been reported only rarely in dogs. we describe here our retrospective study of naturally acquired systemic cdv infection in 4 dogs, 4-7 wk old, that had myocarditis, with myocardial necrosis and fibrosis. one of the 4 dogs had intracytoplasmic eosinophilic inclusion bodies in cardiomyocytes. other lesions included bronchointerstitial pneumonia (4 of 4), necrotizing hepatitis (2 of 4), splenic lymphoid necrosis (2 of 4), encephalitis (1 of 3; brain was not submitted in 1 case), and necrotizing gastroenteritis (1 of 4). the presence of cdv in the heart was confirmed by immunohistochemistry in all 4 dogs.","Journal of veterinary diagnostic investigation : official publication of the American Association of Veterinary Laboratory Diagnosticians, Inc",0,768
0hqrzzsm,American Burn Association Burn Prevention Framework,"in february 2020, burn prevention experts from a variety of professional backgrounds gathered for a national burn prevention summit. through lively discussion and debate, this group came to a consensus on several core burn prevention concepts in order to create a framework for burn prevention program planning. the resulting document includes components of a successful program, a five-step process for program planning, best practices in messaging, and general advice from the summit attendees. this framework is designed for both novice professionals who are new to burn prevention programming development and experienced professionals who would like to strengthen existing programming.",J. brun care res,0,689
